Pay Item,Description,Quantity,Unit,Unit Price,Bid Date,Bidder Name,ProjectID,Job Size,Job Desc,County,Region,Pos,Extension,Bidder2Name,Bidder3Name,Bidder2Total,Bidder3Total,JobFederalID,StateID
615-06490,RIGHT OF WAY MARKER,8.0,EACH,265.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,2120.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
605-06150,"CURB AND GUTTER, C, CONCRETE",313.0,L.F.,56.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,17528.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
601-94689,"GUARDRAIL END TREATMENT, OS",2.0,EACH,3300.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,6600.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
602-06729,BARRIER DELINEATOR,4.0,EACH,32.55,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,130.2,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
601-01522,"GUARDRAIL, TRANSITION TYPE TGB",1.0,EACH,2750.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,2750.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
601-02241,"GUARDRAIL, REMOVE",259.0,L.F.,7.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,1813.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
601-01942,"GUARDRAIL CONNECTOR SYSTEM, W-BEAM, CURVED, MODIFIED, 17 FT RADIUS",1.0,EACH,2475.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,2475.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
601-12292,GUARDRAIL MGS TRANSITION WITHOUT CURB,2.0,EACH,3800.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,7600.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
601-09146,"IMPACT ATTENUATOR, CR1, W1, TL-2",1.0,EACH,39500.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,39500.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
707-11494,"STRUCTURAL MEMBER, CONCRETE BOX BEAM, 21 IN. X 48 IN.",750.0,L.F.,392.5,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,294375.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
709-51821,SURFACE SEAL,1.0,EACH,5000.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,5000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
706-11418,"RAILING, STEEL, PS-1",161.0,L.F.,81.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,13041.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
706-11404,"RAILING, STEEL, PF-1",161.0,L.F.,81.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,13041.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
706-09962,"RAILING, CONCRETE, PF-1",152.0,L.F.,125.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,19000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
706-09961,"RAILING, CONCRETE, PS-1",152.0,L.F.,125.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,19000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
706-06353,"CONCRETE BRIDGE RAILING TRANSITION, TPS-1",2.0,EACH,2550.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,5100.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
706-06351,"CONCRETE BRIDGE RAILING TRANSITION, TPF-1",2.0,EACH,2550.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,5100.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
704-51002,"CONCRETE, C, SUPERSTRUCTURE",218.5,C.Y.,1110.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,242535.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
703-97936,"THREADED TIE BAR ASSEMBLY, EPOXY COATED",46.0,EACH,43.5,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,2001.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
703-06029,"REINFORCING BARS, EPOXY COATED",103422.0,LBS,1.75,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,180988.5,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
703-06028,REINFORCING BARS,17850.0,LBS,1.53,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,27310.5,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
702-51046,"CONCRETE, FOUNDATION SEAL",61.8,C.Y.,665.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,41097.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
702-92857,"CONCRETE, C, SUBSTRUCTURE",32.0,C.Y.,1050.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,33600.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
702-51005,"CONCRETE, A, SUBSTRUCTURE",120.6,C.Y.,1150.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,138690.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
702-51015,"CONCRETE, B, FOOTINGS",50.0,C.Y.,548.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,27400.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
701-09663,"PILE, STEEL PIPE, 0.312 IN, 14 IN",3036.0,L.F.,76.5,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,232254.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
701-09679,"CONICAL PILE TIP, 14 IN",50.0,EACH,340.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,17000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
701-09559,"TEST PILE, DYNAMIC, RESTRIKE",2.0,EACH,2500.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,5000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
628-11976,COMPUTER SYSTEM EQUIPMENT,2.0,EACH,550.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,1100.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
701-09557,"TEST PILE, DYNAMIC, PRODUCTION",142.0,L.F.,160.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,22720.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
701-06011,DYNAMIC PILE LOAD TEST,2.0,EACH,13000.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,26000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
621-06574,SODDING,429.0,S.Y.,18.7,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,8022.3,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
628-09403,"FIELD OFFICE, C",8.0,MONTH,3500.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,28000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
621-01004,MOBILIZATION AND DEMOBILIZATION FOR SEEDING,2.0,EACH,425.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,850.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
621-06559,"MULCHED SEEDING, R",2600.0,S.Y.,2.42,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,6292.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
720-98555,"INLET, C15",1.0,EACH,2855.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,2855.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
720-98174,"INLET, B15",1.0,EACH,2755.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,2755.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
718-12308,"GEOTEXTILE FOR UNDERDRAIN, TYPE 2B",116.0,SYS,8.5,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,986.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
715-05149,"PIPE, TYPE 2 CIRCULAR 12 IN",65.0,L.F.,77.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,5005.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
715-05169,"PIPE, TYPE 3 CIRCULAR 15 IN",72.0,L.F.,96.5,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,6948.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
715-05407,"PIPE, END BENT DRAIN, 6 IN",112.0,L.F.,47.5,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,5320.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
715-46000,"PIPE END SECTION, DIA 12""",1.0,EACH,830.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,830.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
715-46005,"PIPE END SECTION, DIA 15""",2.0,EACH,915.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,1830.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
801-07119,"BARRICADE, III-B",48.0,L.F.,15.22,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,730.56,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
801-07118,"BARRICADE, III-A",48.0,L.F.,15.22,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,730.56,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
801-06775,MAINTAINING TRAFFIC,1.0,EACH,7500.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,7500.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
801-06640,"CONSTRUCTION SIGN, A",10.0,EACH,201.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,2010.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
801-06625,DETOUR ROUTE MARKER ASSEMBLY,15.0,EACH,158.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,2370.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
801-04308,ROAD CLOSURE SIGN ASSEMBLY,4.0,EACH,263.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,1052.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
804-11921,"DELINEATOR POST, FLEXIBLE, TYPE II",10.0,EACH,75.0,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,750.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
808-06713,"LINE, PAINT, SOLID, WHITE, 4 IN",1300.0,L.F.,0.44,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,572.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
808-06714,"LINE, PAINT, SOLID, YELLOW, 4 IN",1300.0,L.F.,0.44,02/15/2024,DUNNET BAY CONSTRUCTION COMPANY,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,2,572.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
105-06845,CONSTRUCTION ENGINEERING,1.0,EACH,50000.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,50000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
109-08360,CONTRACT LIENS,1.0,$,1.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
109-11362,"QUALITY ADJUSTMENTS, FAILURE TO MAINTAIN TEMPORARY EROSION AND SEDIMENT CONTROL MEASURES",1.0,$,1.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
110-01001,MOBILIZATION AND DEMOBILIZATION,1.0,EACH,145000.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,145000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
201-52370,CLEARING RIGHT OF WAY,1.0,EACH,87000.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,87000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
202-51330,"PRESENT STRUCTURE, REMOVE",1.0,EACH,25000.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,25000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
202-51330,"PRESENT STRUCTURE, REMOVE",1.0,EACH,195000.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,195000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
203-02000,"EXCAVATION, COMMON",613.0,C.Y.,200.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,122600.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
203-51223,"EXCAVATION, WATERWAY",28.0,C.Y.,200.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,5600.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
205-12616,STORMWATER MANAGEMENT IMPLEMENTATION,1.0,EACH,37000.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,37000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
205-12108,STORM WATER MANAGEMENT BUDGET,20000.0,$,1.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,20000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
206-51235,COFFERDAM,1.0,EACH,216700.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,216700.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
206-51220,"EXCAVATION, WET",216.0,C.Y.,150.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,32400.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
206-51230,"EXCAVATION, FOUNDATION, UNCLASSIFIED",114.0,C.Y.,35.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,3990.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
207-08266,"SUBGRADE TREATMENT, TYPE III",1634.0,S.Y.,5.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,8170.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
207-08264,"SUBGRADE TREATMENT, TYPE II",152.0,S.Y.,50.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,7600.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
211-06467,AGGREGATE FOR END BENT BACKFILL,52.0,C.Y.,180.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,9360.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
301-12234,COMPACTED AGGREGATE NO 53,839.0,C.Y.,85.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,71315.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
214-11796,"GEOGRID, TYPE IB",1634.0,SYS,5.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,8170.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
214-12239,GEOTEXTILE FOR PAVEMENT TYPE 2B,200.0,SYS,10.0,02/15/2024,RIETH-RILEY CONSTRUCTION,B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,3,2000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
